frame_id,circle_x_px,circle_y_px,pupil_diameter_px,theta_x_deg,theta_y_deg,theta_radial_deg,validity_id
0,969.0,422.0,111.90335464477539,30.173540776393864,7.737287843780147,31.149770242526852,0
1,969.0,422.0,181.77082061767578,30.173540776393864,7.737287843780147,31.149770242526852,0
2,969.0,422.0,119.59278106689453,30.173540776393864,7.737287843780147,31.149770242526852,0
3,969.0,422.0,180.425048828125,30.173540776393864,7.737287843780147,31.149770242526852,0
4,969.0,422.0,133.71814346313477,30.173540776393864,7.737287843780147,31.149770242526852,0
5,969.0,422.0,129.74541854858398,30.173540776393864,7.737287843780147,31.149770242526852,0
6,969.0,422.0,103.54350280761719,30.173540776393864,7.737287843780147,31.149770242526852,0
7,969.0,422.0,113.96597290039062,30.173540776393864,7.737287843780147,31.149770242526852,0
8,969.0,422.0,142.13758087158203,30.173540776393864,7.737287843780147,31.149770242526852,0
9,969.0,422.0,139.0674591064453,30.173540776393864,7.737287843780147,31.149770242526852,0
10,969.0,422.0,125.71088409423828,30.173540776393864,7.737287843780147,31.149770242526852,0
11,969.0,422.0,114.26140213012695,30.173540776393864,7.737287843780147,31.149770242526852,0
12,969.0,422.0,137.8115348815918,30.173540776393864,7.737287843780147,31.149770242526852,0
13,969.0,422.0,133.70938873291016,30.173540776393864,7.737287843780147,31.149770242526852,0
14,969.0,422.0,95.0361213684082,30.173540776393864,7.737287843780147,31.149770242526852,0
15,969.0,422.0,117.17523574829102,30.173540776393864,7.737287843780147,31.149770242526852,0
16,969.0,422.0,115.51709365844727,30.173540776393864,7.737287843780147,31.149770242526852,0
17,969.0,422.0,122.80709075927734,30.173540776393864,7.737287843780147,31.149770242526852,0
18,969.0,422.0,115.6019287109375,30.173540776393864,7.737287843780147,31.149770242526852,0
19,969.0,422.0,118.0744857788086,30.173540776393864,7.737287843780147,31.149770242526852,0
20,969.0,422.0,121.00543975830078,30.173540776393864,7.737287843780147,31.149770242526852,0
21,969.0,422.0,108.0383186340332,30.173540776393864,7.737287843780147,31.149770242526852,0
22,969.0,422.0,115.24967575073242,30.173540776393864,7.737287843780147,31.149770242526852,0
23,969.0,422.0,108.59399032592773,30.173540776393864,7.737287843780147,31.149770242526852,0
24,969.0,422.0,118.41257095336914,30.173540776393864,7.737287843780147,31.149770242526852,0
25,969.0,422.0,113.0697021484375,30.173540776393864,7.737287843780147,31.149770242526852,0
26,969.0,422.0,110.2064094543457,30.173540776393864,7.737287843780147,31.149770242526852,0
27,969.0,422.0,109.74717330932617,30.173540776393864,7.737287843780147,31.149770242526852,0
28,1252.0,284.0,110.96209716796875,39.85906809841932,1.8813307822758136,39.90344239770258,0
29,1252.0,284.0,106.32999038696289,39.85906809841932,1.8813307822758136,39.90344239770258,0
30,1252.0,284.0,142.6279296875,39.85906809841932,1.8813307822758136,39.90344239770258,0
31,1252.0,284.0,133.97557067871094,39.85906809841932,1.8813307822758136,39.90344239770258,0
32,1252.0,284.0,132.93064498901367,39.85906809841932,1.8813307822758136,39.90344239770258,0
33,1252.0,284.0,135.2224578857422,39.85906809841932,1.8813307822758136,39.90344239770258,0
34,1252.0,284.0,130.1575927734375,39.85906809841932,1.8813307822758136,39.90344239770258,0
35,1252.0,284.0,113.17980194091797,39.85906809841932,1.8813307822758136,39.90344239770258,0
36,1252.0,284.0,116.77000045776367,39.85906809841932,1.8813307822758136,39.90344239770258,0
37,1252.0,284.0,113.80317306518555,39.85906809841932,1.8813307822758136,39.90344239770258,0
38,1252.0,284.0,136.23372650146484,39.85906809841932,1.8813307822758136,39.90344239770258,0
39,1252.0,284.0,142.45171356201172,39.85906809841932,1.8813307822758136,39.90344239770258,0
40,1252.0,284.0,119.43696594238281,39.85906809841932,1.8813307822758136,39.90344239770258,0
41,1252.0,284.0,124.60538101196289,39.85906809841932,1.8813307822758136,39.90344239770258,0
