frame,x,y,validity
402,900,690,0
403,900,690,0
404,900,690,0
405,900,690,0
406,900,690,0
407,900,690,0
408,900,690,0
409,900,690,0
410,900,690,0
411,900,690,0
412,900,690,0
413,900,690,0
414,900,690,0
415,900,690,0
416,900,690,0
417,900,690,0
418,900,690,0
419,900,690,0
420,900,690,0
421,900,690,0
422,1181,624,0
423,1181,624,0
424,1181,624,0
425,1181,624,0
426,1181,624,0
427,1181,624,0
428,1181,624,0
429,1181,624,0
430,1181,624,0
431,1181,624,0
432,1181,624,0
433,1181,624,0
434,1181,624,0
435,1181,624,0
436,1181,624,0
437,1181,624,0
438,1181,624,0
439,1181,624,0
440,1181,624,0
441,1181,624,0
442,1181,624,0
443,1181,624,0
444,1181,624,0
445,1181,624,0
446,1181,624,0
447,1181,624,0
448,1181,624,0
449,1181,624,0
450,1181,624,0
451,1181,624,0
452,1155,134,0
453,1155,134,0
454,1155,134,0
455,1155,134,0
456,1155,134,0
457,1155,134,0
458,1155,134,0
459,1155,134,0
460,1155,134,0
461,1155,134,0
462,1155,134,0
463,1155,134,0
464,1155,134,0
465,1155,134,0
466,1155,134,0
467,1155,134,0
468,1155,134,0
469,1155,134,0
470,1155,134,0
471,1155,134,0
472,1155,134,0
473,1155,134,0
474,1155,134,0
475,1155,134,0
476,1155,134,0
477,1155,134,0
478,1155,134,0
479,1155,134,0
480,1155,134,0
481,1155,134,0
482,680,612,0
483,680,612,0
484,680,612,0
485,680,612,0
486,680,612,0
487,680,612,0
488,680,612,0
489,680,612,0
490,680,612,0
491,680,612,0
492,680,612,0
493,680,612,0
494,680,612,0
495,680,612,0
496,680,612,0
497,680,612,0
498,680,612,0
499,680,612,0
500,680,612,0
501,680,612,0
502,680,612,0
503,680,612,0
504,680,612,0
505,680,612,0
506,680,612,0
507,680,612,0
508,680,612,0
509,680,612,0
510,680,612,0
511,680,612,0
512,680,612,0
513,947,342,0
514,947,342,0
515,947,342,0
516,947,342,0
517,947,342,0
518,947,342,0
519,947,342,0
520,947,342,0
521,947,342,0
522,947,342,0
523,947,342,0
524,947,342,0
525,947,342,0
526,947,342,0
527,947,342,0
528,947,342,0
529,947,342,0
530,947,342,0
531,947,342,0
532,947,342,0
533,947,342,0
534,947,342,0
535,947,342,0
536,947,342,0
537,947,342,0
538,947,342,0
539,947,342,0
540,947,342,0
541,947,342,0
542,947,342,0
543,1475,284,0
544,1475,284,0
545,1475,284,0
546,1475,284,0
547,1475,284,0
548,1475,284,0
549,1475,284,0
550,1475,284,0
551,1475,284,0
552,1475,284,0
553,1475,284,0
554,1475,284,0
555,1475,284,0
556,1475,284,0
557,1475,284,0
558,1475,284,0
559,1475,284,0
560,1475,284,0
561,1475,284,0
562,1475,284,0
563,1475,284,0
564,1475,284,0
565,1475,284,0
566,1475,284,0
567,1475,284,0
568,1475,284,0
569,1475,284,0
570,1475,284,0
571,1475,284,0
572,1475,284,0
573,714,511,0
574,714,511,0
575,714,511,0
576,714,511,0
577,714,511,0
578,714,511,0
579,714,511,0
580,714,511,0
581,714,511,0
582,714,511,0
583,714,511,0
584,714,511,0
585,714,511,0
586,714,511,0
587,714,511,0
588,714,511,0
589,714,511,0
590,714,511,0
591,714,511,0
592,714,511,0
593,714,511,0
594,714,511,0
595,714,511,0
596,714,511,0
597,714,511,0
598,714,511,0
599,714,511,0
600,714,511,0
601,714,511,0
602,714,511,0
603,1429,212,0
604,1429,212,0
605,1429,212,0
606,1429,212,0
607,1429,212,0
608,1429,212,0
609,1429,212,0
610,1429,212,0
611,1429,212,0
612,1429,212,0
613,1429,212,0
614,1429,212,0
615,1429,212,0
616,1429,212,0
617,1429,212,0
618,1429,212,0
619,1429,212,0
620,1429,212,0
621,1429,212,0
622,1429,212,0
623,1429,212,0
624,1429,212,0
625,1429,212,0
626,1429,212,0
627,1429,212,0
